id#	description	tosectionid#	altsectionid#	chptr range	aliyah	sedra	sefer	comments
10	materials-command	830		26	1	תרומה	שמות	
20	mishkan-extra	1460			1	תרומה	שמות	
30	aron-command	930			1	תרומה	שמות	
40	badim-position-command	1320			1	תרומה	שמות	
50	edos-position-command	1310			1	תרומה	שמות	
60	kapores-command	940			2	תרומה	שמות	
70	kapores-position-command	1330			2	תרומה	שמות	
80	edos-position-command2				2	תרומה	שמות	
90	aron-usage				2	תרומה	שמות	
100	shulchan-command	950			2	תרומה	שמות	
110	shulchan-usage				2	תרומה	שמות	
120	menorah-command	960			3	תרומה	שמות	
130	menorah-usage	1380			3	תרומה	שמות	
140	menorah-command2	960			3	תרומה	שמות	
150	menorah-extra				3	תרומה	שמות	
160	mishkan-command	880			3	תרומה	שמות	
170	ohel-command	890			3	תרומה	שמות	
180	kerashim-command	900			4	תרומה	שמות	
190	mishkan-extra2	1460			4	תרומה	שמות	
200	paroches-command	910			5	תרומה	שמות	
210	paroches-position-command	1340			5	תרומה	שמות	
220	kapores-position-command2	1330			5	תרומה	שמות	
230	shulchan-position-command	1350			5	תרומה	שמות	
240	menorah-position-command	1370			5	תרומה	שמות	
250	shulchan-position-command2	1350			5	תרומה	שמות	
260	masach-command	920			5	תרומה	שמות	
270	mizbeach-command	1000		27	6	תרומה	שמות	
280	mizbeach-extra				6	תרומה	שמות	
290	chatzer-command	1020			7	תרומה	שמות	
300	chatzer-command2	1030			7	תרומה	שמות	
310	oil-bring-command				1	תצוה	שמות	
320	cohanim-bring-command				1	תצוה	שמות	
330	clothing-general-command	1050			1	תצוה	שמות	
340	ephod-command	1060			1	תצוה	שמות	
350	ephod-command2	1070			1	תצוה	שמות	
360	ephod-command3	1080			1	תצוה	שמות	
370	ephod-command4	1090			1	תצוה	שמות	
380	ephod-command5	1100			1	תצוה	שמות	
390	ephod-usage				1	תצוה	שמות	
400	ephod-command6				2	תצוה	שמות	
410	choshen-command	1110			2	תצוה	שמות	
420	choshen-command2	1120			2	תצוה	שמות	
430	choshen-usage				2	תצוה	שמות	
440	meil-command	1130			3	תצוה	שמות	
450	meil-usage				3	תצוה	שמות	
460	tzitz-command	1150			3	תצוה	שמות	
470	tzitz-usage				3	תצוה	שמות	
480	clothing-other-command	1140			3	תצוה	שמות	
490	clothing-other-usage				3	תצוה	שמות	
500	michnosayim-command				3	תצוה	שמות	
510	michnosayim-usage				3	תצוה	שמות	
520	miluim-command	1470			4	תצוה	שמות	
530	miluim-command2	1480			4	תצוה	שמות	
540	miluim-command3	1490			4	תצוה	שמות	
550	miluim-command4	1500			4	תצוה	שמות	
560	miluim-command5	1510			4	תצוה	שמות	
570	miluim-command6	1520			4	תצוה	שמות	
580	miluim-command7	1530			5	תצוה	שמות	
590	miluim-command8	1550			5	תצוה	שמות	
600	miluim-command9	1540			5	תצוה	שמות	
610	miluim-command10				5	תצוה	שמות	
620	miluim-command11				5	תצוה	שמות	
630	miluim-command12	1560			5	תצוה	שמות	
640	miluim-command13	1570			5	תצוה	שמות	
650	miluim-command14				5	תצוה	שמות	
660	miluim-mizbeach-usage				6	תצוה	שמות	
670	mizbach-ketores-command	970			7	תצוה	שמות	
680	mizbach-ketores-position-command				7	תצוה	שמות	
690	mizbach-ketores-usage				7	תצוה	שמות	
700	half-shekel-command	1580			1	כי תשא	שמות	
